"","code","year","location","Age","sex","mass","faavg","bci","site","date","time","day","month","mult","count"
"470","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-08-31,"21:22:44",243,"Aug","multiple",15
"471","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-08-28,"22:02:20",240,"Aug","multiple",13
"472","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-08-30,"21:48:36",242,"Aug","multiple",10
"473","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-09-01,"22:25:16",244,"Sep","multiple",9
"474","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-08-29,"22:41:46",241,"Aug","multiple",5
"475","000696E9E8","2017",NA,NA,NA,NA,NA,NA,"SG",2017-09-02,"22:22:33",245,"Sep","multiple",4
"476","000696E9F4","2012","St.George","J","M",7.93,38.35666667,0.206743721,"SG",2012-09-28,"21:53:21",272,"Sep",NA,1
"477","000696EA2B","2012","St.George","A","M",9.07,39.35333333,0.230476029,NA,NA,NA,NA,NA,NA,NA
"478","000696EA53","2008","St.George",NA,"M",11.1,39.26,0.282730515,NA,NA,NA,NA,NA,NA,NA
"479","000696EA89","2008","St.George","A","F",10.1,39.84,0.253514056,NA,NA,NA,NA,NA,NA,NA
