,code,year,location,Age,sex,mass,faavg,bci,site,date,time,day,month,mult,count
3291,0006C97262,2011,Richard.Lake,J,F,8.51,37.875,0.224686469,NA,NA,NA,NA,NA,NA,NA
3292,0006C972B9,2012,St.George,A,M,8.15,37.78666667,0.215684545,NA,NA,NA,NA,NA,NA,NA
3293,0006C972BA,2012,St.George,A,M,8.96,38.73333333,0.231325301,NA,NA,NA,NA,NA,NA,NA
3294,0006C972C1,2012,St.George,A,M,8.93,36.85666667,0.242289952,NA,NA,NA,NA,NA,NA,NA
3295,0006C972C1,2014,NA,NA,NA,NA,NA,NA,SG,03/06/2014,23:37:48,154,Jun,multiple,3
3296,0006C972C1,2014,NA,NA,NA,NA,NA,NA,SG,04/06/2014,0:18:57,155,Jun,multiple,2
3297,0006C972C1,2016,NA,NA,NA,NA,NA,NA,SG,11/05/2016,22:28:11,132,May,multiple,1
3298,0006C972C2,2011,Richard.Lake,A,M,11.21,38.335,0.292422069,NA,NA,NA,NA,NA,NA,NA
3299,0006C972C5,2011,Richard.Lake,A,M,10.68,35.83,0.298074239,NA,NA,NA,NA,NA,NA,NA
3300,0006C972C5,2014,NA,NA,NA,NA,NA,NA,RL,01/05/2014,14:19:35,121,May,multiple,2
3301,0006C972C5,2015,NA,NA,NA,NA,NA,NA,RLB,24/05/2015,2:36:57,144,May,multiple,1
3302,0006C972C7,2011,St.George,A,F,10.48,38.99,0.268786868,NA,NA,NA,NA,NA,NA,NA
3303,0006C972CA,2012,St.George,A,F,9.2,36.7,0.250681199,NA,NA,NA,NA,NA,NA,NA
3304,0006C972CC,2011,Abyss,A,M,9.33,41.38,0.225471242,NA,NA,NA,NA,NA,NA,NA
3305,0006C972CD,2012,St.George,A,M,7.39,36.29666667,0.203599963,NA,NA,NA,NA,NA,NA,NA
3306,0006C97326,2014,Squeaky,A,F,10.3,39.5,0.260759494,NA,NA,NA,NA,NA,NA,NA
3307,0006C97327,2014,Squeaky,A,F,8.7,35.63333333,0.244153414,NA,NA,NA,NA,NA,NA,NA
3308,0006C9732E,2011,Shoal.Lake-Korowiz,A,F,9.92,40.24666667,0.24648004,NA,NA,NA,NA,NA,NA,NA
3309,0006C97332,2012,St.George,A,F,9.31,39.41666667,0.236194503,NA,NA,NA,NA,NA,NA,NA
3310,0006C97334,2012,St.George,A,M,9.39,39.53666667,0.237501054,NA,NA,NA,NA,NA,NA,NA
3311,0006C97336,2009,Microwave,J,M,0.411111111,38.03,0.010810179,NA,NA,NA,NA,NA,NA,NA
3312,0006C97338,2011,St.George,A,F,12.38,37.57,0.329518233,NA,NA,NA,NA,NA,NA,NA
3313,0006C97338,2013,St.George,A,F,11.8,37.7,0.312997347,NA,NA,NA,NA,NA,NA,NA
3314,0006C97338,2014,NA,NA,NA,NA,NA,NA,SG,05/04/2014,22:24:09,95,Apr,multiple,2
3315,0006C97338,2015,NA,NA,NA,NA,NA,NA,SG,03/05/2015,5:52:31,123,May,multiple,1
3316,0006C97393,2011,St.George,J,M,8.09,36.615,0.220947699,NA,NA,NA,NA,NA,NA,NA
3317,0006C97393,2015,NA,NA,NA,NA,NA,NA,SG,05/06/2015,5:10:20,156,Jun,NA,1
3318,0006C97394,2014,Squeaky,A,M,8.2,37.6,0.218085106,NA,NA,NA,NA,NA,NA,NA
3319,0006C97398,2012,St.George,A,M,9.96,38.34,0.259780908,NA,NA,NA,NA,NA,NA,NA
3320,0006C973A4,2012,St.George,J,M,8.2,37.87,0.216530235,NA,NA,NA,NA,NA,NA,NA
3321,0006C973FE,2013,St.George,A,M,6.8,36.1,0.188365651,NA,NA,NA,NA,NA,NA,NA
3322,0006C97401,2012,St.George,A,M,8.52,37.87666667,0.224940597,NA,NA,NA,NA,NA,NA,NA
3323,0006C9740A,2011,Abyss,J,F,8.51,39.865,0.213470463,NA,NA,NA,NA,NA,NA,NA
3324,0006C97411,2012,St.George,A,M,8.72,38.62666667,0.225750777,NA,NA,NA,NA,NA,NA,NA
3325,0006C97411,2013,St.George,A,M,7.6,38.25,0.19869281,NA,NA,NA,NA,NA,NA,NA
3326,0006C97477,2011,St.George,A,M,13.7,38.075,0.359816152,NA,NA,NA,NA,NA,NA,NA
3327,0006C97483,2011,Microwave,A,M,9.93,37.815,0.262594209,NA,NA,NA,NA,NA,NA,NA
3328,0006C97486,2013,St.George,A,M,7.6,36.23333333,0.20975161,NA,NA,NA,NA,NA,NA,NA
3329,0006C974F0,2013,Abyss,A,M,9,38.9,0.231362468,NA,NA,NA,NA,NA,NA,NA
3330,0006C974F3,2013,St.George,A,M,7.4,38,0.194736842,NA,NA,NA,NA,NA,NA,NA
3331,0006C974F4,2009,Altamont-Community.Centre,J,M,6.5,38.19,0.170201623,NA,NA,NA,NA,NA,NA,NA
3332,0006C974FA,2009,Microwave,J,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3333,0006C974FE,2011,Balsam.Road-Black's.Point,A,F,11.88,40.80333333,0.291152684,NA,NA,NA,NA,NA,NA,NA
3334,0006C97501,2012,Firecamp,J,M,7.33,38.57666667,0.190011233,NA,NA,NA,NA,NA,NA,NA
3335,0006C97502,2011,Shoal.Lake-Korowiz,A,F,8.63,36.67,0.235342242,NA,NA,NA,NA,NA,NA,NA
3336,0006C9756E,2013,St.George,A,M,7,38,0.184210526,NA,NA,NA,NA,NA,NA,NA
3337,0006C97574,2015,Flanders.Lake-Hughes,J,F,7.8,37.79333333,NA,NA,NA,NA,NA,NA,NA,NA
3338,0006C9757E,2012,St.George,A,M,7.68,36.92333333,0.207998556,NA,NA,NA,NA,NA,NA,NA
3339,0006C9757F,2011,Richard.Lake,A,F,12.88,38.9766,0.330454683,NA,NA,NA,NA,NA,NA,NA
3340,0006C975F0,2011,Sioux.Narrows,A,F,9.08,37.7,0.240848806,NA,NA,NA,NA,NA,NA,NA
3341,0006C975F4,2012,St.George,A,M,8.05,36.07,0.223177156,NA,NA,NA,NA,NA,NA,NA
3342,0006C975F5,2013,St.George,A,M,7.9,38,0.207894737,NA,NA,NA,NA,NA,NA,NA
3343,0006C975F5,2015,NA,NA,NA,NA,NA,NA,SG,01/06/2015,22:59:29,152,Jun,NA,1
3344,0006C975FC,2011,Microwave,J,M,9.08,38.99333333,0.232860318,NA,NA,NA,NA,NA,NA,NA
3345,0006C975FF,2012,St.George,J,F,8.15,38.24666667,0.213090465,NA,NA,NA,NA,NA,NA,NA
3346,0006C97600,2012,St.George,A,M,7.83,36.34333333,0.21544529,NA,NA,NA,NA,NA,NA,NA
3347,0006C97600,2014,NA,NA,NA,NA,NA,NA,SG,29/05/2014,21:26:57,149,May,multiple,1
3348,0006C97600,2015,NA,NA,NA,NA,NA,NA,SG,07/06/2015,0:29:52,158,Jun,multiple,2
3349,0006C97671,2009,Altamont-Curling.Rink,J,M,7.3,39.53,0.184669871,NA,NA,NA,NA,NA,NA,NA
3350,0006C97675,2013,St.George,A,M,7.4,37.35,0.198125837,NA,NA,NA,NA,NA,NA,NA
3351,0006C97675,2015,NA,NA,NA,NA,NA,NA,SG,17/05/2015,5:41:09,137,May,multiple,2
3352,0006C97675,2015,NA,NA,NA,NA,NA,NA,SG,26/05/2015,3:01:34,146,May,multiple,1
3353,0006C97676,2014,Squeaky,A,F,10.1,37.93333333,0.266256591,NA,NA,NA,NA,NA,NA,NA
3354,0006C97678,2011,Richard.Lake,A,F,12.95,37.05,0.349527665,NA,NA,NA,NA,NA,NA,NA
3355,0006C9767A,2011,Richard.Lake,J,F,7.73,39.30333333,0.19667543,NA,NA,NA,NA,NA,NA,NA
3356,0006C9767A,2014,NA,NA,NA,NA,NA,NA,RL,01/05/2014,9:25:13,121,May,NA,1
3357,0006C9767B,2012,St.George,A,F,10.18,38.36333333,0.265357546,NA,NA,NA,NA,NA,NA,NA
3358,0006C9767C,2012,St.George,A,F,9.11,38.95666667,0.233849576,NA,NA,NA,NA,NA,NA,NA
3359,0006C9767F,2012,St.George,A,M,7.66,37.22333333,0.205784902,NA,NA,NA,NA,NA,NA,NA
3360,0006C9767F,2014,NA,NA,NA,NA,NA,NA,SG,21/05/2014,2:08:52,141,May,multiple,3
3361,0006C9767F,2015,NA,NA,NA,NA,NA,NA,SG,24/05/2015,0:48:45,144,May,multiple,1
3362,0006C9767F,2016,NA,NA,NA,NA,NA,NA,SG,15/05/2016,2:05:42,136,May,multiple,2
3363,0006C9767F,2017,NA,NA,NA,NA,NA,NA,SG,05/05/2017,22:22:17,125,May,multiple,4
3364,0006C976EE,2011,Richard.Lake,J,M,9.04,38.10666667,0.237228831,NA,NA,NA,NA,NA,NA,NA
3365,0006C976EF,2011,Balsam.Road-Black's.Point,A,F,10.78,40.19,0.268225927,NA,NA,NA,NA,NA,NA,NA
3366,0006C976F0,2012,St.George,J,M,9.66,37.68666667,0.256324076,NA,NA,NA,NA,NA,NA,NA
3367,0006C976F0,2014,NA,NA,NA,NA,NA,NA,SG,19/05/2014,0:16:26,139,May,multiple,2
3368,0006C976F0,2015,NA,NA,NA,NA,NA,NA,SG,21/05/2015,22:42:02,141,May,multiple,1
3369,0006C976F0,2016,NA,NA,NA,NA,NA,NA,SG,03/05/2016,0:31:16,124,May,multiple,4
3370,0006C976F0,2017,NA,NA,NA,NA,NA,NA,SG,15/05/2017,10:42:43,135,May,multiple,3
3371,0006C976F4,2011,Microwave,J,F,9.7,38.85666667,0.249635412,NA,NA,NA,NA,NA,NA,NA
3372,0006C976F7,2011,St.George,A,M,10.7,38.16,0.280398323,NA,NA,NA,NA,NA,NA,NA
3373,0006C976F7,2013,St.George,A,M,12,38.1,0.31496063,NA,NA,NA,NA,NA,NA,NA
3374,0006C976F7,2014,NA,NA,NA,NA,NA,NA,SG,25/05/2014,3:34:45,145,May,NA,1
3375,0006C976FA,2013,St.George,A,M,7.7,38.2,0.201570681,NA,NA,NA,NA,NA,NA,NA
3376,0006C976FA,2014,NA,NA,NA,NA,NA,NA,SG,24/05/2014,0:46:09,144,May,multiple,1
3377,0006C976FA,2015,NA,NA,NA,NA,NA,NA,SG,02/06/2015,1:52:54,153,Jun,multiple,3
3378,0006C976FA,2016,NA,NA,NA,NA,NA,NA,SG,05/05/2016,21:13:29,126,May,multiple,2
3379,0006C97701,2015,St.George,J,M,7.3,34.56666667,NA,NA,NA,NA,NA,NA,NA,NA
3380,0006C97758,2014,Squeaky,A,F,8.1,38.4,0.2109375,NA,NA,NA,NA,NA,NA,NA
3381,0006C9776D,2012,St.George,J,F,8.29,38.67333333,0.214359593,NA,NA,NA,NA,NA,NA,NA
3382,0006C9776F,2011,Dale's,A,M,10.07,38.535,0.261320877,NA,NA,NA,NA,NA,NA,NA
3383,0006C97772,2012,St.George,A,M,8.35,37.79333333,0.220938437,NA,NA,NA,NA,NA,NA,NA
3384,0006C97773,2011,Richard.Lake,A,M,11.6,37.98,0.305423907,NA,NA,NA,NA,NA,NA,NA
3385,0006C97779,2013,St.George,A,M,7.6,37,0.205405405,NA,NA,NA,NA,NA,NA,NA
3386,0006C97779,2015,NA,NA,NA,NA,NA,NA,SG,26/05/2015,22:45:22,146,May,NA,1
3387,0006C9777A,2012,St.George,A,M,8.55,37.01,0.231018644,NA,NA,NA,NA,NA,NA,NA
3388,0006C9777D,2012,St.George,A,F,8.11,36.61666667,0.221483842,NA,NA,NA,NA,NA,NA,NA
3389,0006C977F3,2011,Shoal.Lake-Korowiz,J,F,5.93,37.20666667,0.159380039,NA,NA,NA,NA,NA,NA,NA
3390,0006C977F4,2013,St.George,A,M,6,37.41666667,0.160356347,NA,NA,NA,NA,NA,NA,NA
3391,0006C977F5,2011,Firecamp,NA,F,8.62,38.585,0.223402877,NA,NA,NA,NA,NA,NA,NA
3392,0006C977F6,2014,Squeaky,A,F,9.4,38.1,0.24671916,NA,NA,NA,NA,NA,NA,NA
3393,0006C977F6,2015,NA,NA,NA,NA,NA,NA,SQ,14/05/2015,2:19:41,134,May,multiple,1
3394,0006C977F6,2015,NA,NA,NA,NA,NA,NA,SQ,07/05/2015,3:27:31,127,May,multiple,2
3395,0006C977F6,2017,NA,NA,NA,NA,NA,NA,SQ,18/05/2017,8:35:27,138,May,multiple,3
3396,0006C977F7,2011,Nutimik.Lake-Mitch.Diane's,A,F,10.28,42.265,0.243227257,NA,NA,NA,NA,NA,NA,NA
3397,0006C977FF,2012,St.George,A,M,8.02,37.1,0.216172507,NA,NA,NA,NA,NA,NA,NA
3398,0006C977FF,2014,NA,NA,NA,NA,NA,NA,SG,24/05/2014,21:32:30,144,May,multiple,2
3399,0006C977FF,2014,NA,NA,NA,NA,NA,NA,SG,28/05/2014,1:54:58,148,May,multiple,1
3400,0006C977FF,2015,NA,NA,NA,NA,NA,NA,SG,09/06/2015,23:53:24,160,Jun,multiple,3
3401,0006C9787D,2012,Shoal.Lake-Korowiz,A,F,9.92,39.31666667,0.252310301,NA,NA,NA,NA,NA,NA,NA
3402,0006C9787E,2012,St.George,A,M,8.84,38.58666667,0.229094679,NA,NA,NA,NA,NA,NA,NA
3403,0006C97883,2012,St.George,A,M,11.48,35.29,0.325304619,NA,NA,NA,NA,NA,NA,NA
3404,0006C97883,2015,NA,NA,NA,NA,NA,NA,SG,01/06/2015,0:25:41,152,Jun,NA,1
3405,0006C97887,2011,Balsam.Road-Black's.Point,A,F,10.33,40.6,0.254433498,NA,NA,NA,NA,NA,NA,NA
3406,0006C978F7,2011,Nutimik.Lake-Mitch.Diane's,A,F,8.95,38.26333333,0.233905392,NA,NA,NA,NA,NA,NA,NA
3407,0006C978FA,2011,St.George,A,F,11.56,38.23,0.30238033,NA,NA,NA,NA,NA,NA,NA
3408,0006C978FA,2016,NA,NA,NA,NA,NA,NA,SG,27/04/2016,22:57:05,118,Apr,NA,1
3409,0006C978FD,2009,Bob.Walden's,J,M,6.8,37.31,0.182256768,NA,NA,NA,NA,NA,NA,NA
3410,0006C978FF,2010,Heidi.Cook's.House,A,F,7.92,39.955,0.198223001,NA,NA,NA,NA,NA,NA,NA
3411,0006C97901,2012,St.George,A,M,8.26,35.91666667,0.229976798,NA,NA,NA,NA,NA,NA,NA
3412,0006C97907,2011,Abyss,J,M,8.88,39.023,0.227558107,NA,NA,NA,NA,NA,NA,NA
3413,0006C9790A,2009,Heidi.Cook's.House,NA,M,7.1,38.15,0.186107471,NA,NA,NA,NA,NA,NA,NA
3414,0006C9797D,2011,Nutimik.Lake-Mitch.Diane's,A,F,8.19,38.88,0.210648148,NA,NA,NA,NA,NA,NA,NA
3415,0006C9797E,2011,Abyss,A,M,9.35,39.44,0.237068966,NA,NA,NA,NA,NA,NA,NA
3416,0006C97980,2009,Microwave,J,M,9.4,39.9,0.235588972,NA,NA,NA,NA,NA,NA,NA
3417,0006C97989,2013,St.George,A,M,7.2,37.13333333,0.193895871,NA,NA,NA,NA,NA,NA,NA
3418,0006C97A03,2011,Abyss,J,M,8.46,37.555,0.225269605,NA,NA,NA,NA,NA,NA,NA
3419,0006C97A06,2014,Squeaky,A,F,8.9,38.7,0.22997416,NA,NA,NA,NA,NA,NA,NA
3420,0006C97A08,2012,St.George,A,F,9.63,38.66666667,0.249051724,NA,NA,NA,NA,NA,NA,NA
3421,0006C97A09,2012,St.George,A,M,8.22,37,0.222162162,NA,NA,NA,NA,NA,NA,NA
3422,0006C97A0C,2012,St.George,J,M,8.13,37.4,0.217379679,NA,NA,NA,NA,NA,NA,NA
3423,0006C97A11,2012,Shoal.Lake-Korowiz,A,F,9.32,37.47666667,0.248688073,NA,NA,NA,NA,NA,NA,NA
3424,0006C97A11,2012,Shoal.Lake-Korowiz,A,F,9.32,37.47666667,0.248688073,NA,NA,NA,NA,NA,NA,NA
3425,0006C97A14,2012,St.George,A,M,8.88,38.64,0.229813665,NA,NA,NA,NA,NA,NA,NA
3426,0006C97A8A,2011,Iguana,J,M,7.99,38.415,0.20799167,NA,NA,NA,NA,NA,NA,NA
3427,0006C97A8D,2011,Richard.Lake,A,M,11.13,39.355,0.282810316,NA,NA,NA,NA,NA,NA,NA
3428,0006C97A8E,2012,Shoal.Lake-Korowiz,A,F,8.64,39.82666667,0.216940074,NA,NA,NA,NA,NA,NA,NA
3429,0006C97A91,2011,Abyss,A,F,10.22,38.965,0.262286668,NA,NA,NA,NA,NA,NA,NA
3430,0006C97A93,2011,Balsam.Road-Black's.Point,A,F,10.32,39.15,0.263601533,NA,NA,NA,NA,NA,NA,NA
3431,0006C97A94,2011,Shoal.Lake-Korowiz,A,F,8.55,36.48,0.234375,NA,NA,NA,NA,NA,NA,NA
3432,0006C97A94,2012,Shoal.Lake-Korowiz,A,F,8.54,36.55,0.233652531,NA,NA,NA,NA,NA,NA,NA
3433,0006C97B0F,2011,Shoal.Lake-Korowiz,A,F,11.11,38.845,0.286008495,NA,NA,NA,NA,NA,NA,NA
3434,0006C97B10,2015,Ashern-Hudson.Reykdal,A,F,8.8,37.38666667,NA,NA,NA,NA,NA,NA,NA,NA
3435,0006C97B12,2012,Shoal.Lake-Korowiz,A,F,8.16,36.82333333,0.221598624,NA,NA,NA,NA,NA,NA,NA
3436,0006C97B17,2013,St.George,A,M,7.4,38.3,0.193211488,NA,NA,NA,NA,NA,NA,NA
3437,0006C97B17,2015,NA,NA,NA,NA,NA,NA,SG,23/05/2015,22:59:58,143,May,multiple,2
3438,0006C97B17,2016,NA,NA,NA,NA,NA,NA,SG,16/05/2016,1:40:24,137,May,multiple,1
3439,0006C97B1E,2015,Ashern-Hudson.Reykdal,J,F,8,38.90666667,NA,NA,NA,NA,NA,NA,NA,NA
3440,0006C97B98,2012,Shoal.Lake-Korowiz,A,F,11.83,39.85666667,0.296813582,NA,NA,NA,NA,NA,NA,NA
3441,0006C97B9A,2014,Squeaky,A,F,8,37.03333333,0.216021602,NA,NA,NA,NA,NA,NA,NA
3442,0006C97B9B,2011,Richard.Lake,J,M,7.99,38.87,0.205556985,NA,NA,NA,NA,NA,NA,NA
3443,0006C97B9D,2012,Shoal.Lake-Korowiz,A,F,10.98,37.56,0.292332268,NA,NA,NA,NA,NA,NA,NA
3444,0006C97BA2,2009,Microwave,J,M,7.6,39.44,0.192697769,NA,NA,NA,NA,NA,NA,NA
3445,0006C97BA4,2011,Shoal.Lake-Korowiz,A,F,9.73,38.79666667,0.250794742,NA,NA,NA,NA,NA,NA,NA
3446,0006C97BA5,2014,Squeaky,A,F,8.3,38.76666667,0.214101462,NA,NA,NA,NA,NA,NA,NA
3447,0006C97BA5,2014,Squeaky,A,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3448,0006C97BA6,2011,St.George,A,M,11,37.175,0.295897781,NA,NA,NA,NA,NA,NA,NA
3449,0006C97BA8,2012,St.George,A,F,7.9,36.68,0.215376227,NA,NA,NA,NA,NA,NA,NA
3450,0006C97C1B,2014,Squeaky,A,F,9.4,38.36666667,0.245004344,NA,NA,NA,NA,NA,NA,NA
3451,0006C97C1B,2017,NA,NA,NA,NA,NA,NA,SQ,05/05/2017,22:49:17,125,May,NA,1
3452,0006C97C1C,2013,Firecamp,A,F,8.5,36.96666667,0.22993688,NA,NA,NA,NA,NA,NA,NA
3453,0006C97C21,2013,St.George,A,M,8,38.1,0.209973753,NA,NA,NA,NA,NA,NA,NA
3454,0006C97C25,2012,St.George,A,F,8.59,36.75333333,0.233720297,NA,NA,NA,NA,NA,NA,NA
3455,0006C97C2D,2013,St.George,A,M,6.8,38.53333333,0.176470588,NA,NA,NA,NA,NA,NA,NA
3456,0006C97C2D,2014,NA,NA,NA,NA,NA,NA,SG,13/05/2014,1:39:28,133,May,NA,1
3457,0006C97CA6,2009,Heidi.Cook's.House,NA,F,9.1,38.83,0.23435488,NA,NA,NA,NA,NA,NA,NA
3458,0006C97CA7,2012,St.George,A,M,8.94,38.23,0.233847764,NA,NA,NA,NA,NA,NA,NA
3459,0006C97CA8,2012,St.George,A,F,8.9,38.5,0.231168831,NA,NA,NA,NA,NA,NA,NA
3460,0006C97CAB,2012,Shoal.Lake-Korowiz,A,F,11.27,37.1,0.303773585,NA,NA,NA,NA,NA,NA,NA
3461,0006C97CAD,2009,NA,NA,NA,NA,NA,NA,SG,05/05/2009,18:47:58,125,May,NA,1
3462,0006C97CAD,2012,St.George,J,M,8.16,37.10666667,0.219906576,NA,NA,NA,NA,NA,NA,NA
3463,0006C97CAF,2012,St.George,A,M,8.52,38.02,0.224092583,NA,NA,NA,NA,NA,NA,NA
3464,0006C97CB1,2014,Squeaky,A,F,8.6,38.56666667,0.222990493,NA,NA,NA,NA,NA,NA,NA
3465,0006C97CB5,2012,St.George,A,M,8.46,37.46333333,0.225820803,NA,NA,NA,NA,NA,NA,NA
3466,0006C97D28,2011,St.George,J,M,8.34,38.11,0.218840199,NA,NA,NA,NA,NA,NA,NA
3467,0006C97D30,2012,St.George,A,M,8.99,39.77333333,0.226030841,NA,NA,NA,NA,NA,NA,NA
3468,0006C97D35,2011,Nutimik.Lake-Mitch.Diane's,A,F,8.2,38.13,0.215053763,NA,NA,NA,NA,NA,NA,NA
3469,0006C97D37,2011,Shoal.Lake-Korowiz,A,F,9.33,38.905,0.239814934,NA,NA,NA,NA,NA,NA,NA
3470,0006C97D3B,2011,Richard.Lake,A,M,8.83,37.455,0.235749566,NA,NA,NA,NA,NA,NA,NA
3471,0006C97D3B,2012,NA,NA,NA,NA,NA,NA,RL,05/06/2012,2:21:17,157,Jun,NA,1
3472,0006C97D3E,2009,Altamont-Curling.Rink,J,F,9,38.28,0.235109718,NA,NA,NA,NA,NA,NA,NA
3473,0006C97DB5,2015,Ashern-Hudson.Reykdal,J,F,8.2,37.63,NA,NA,NA,NA,NA,NA,NA,NA
3474,0006C97DBB,2014,Squeaky,A,M,6.6,36.33333333,0.181651376,NA,NA,NA,NA,NA,NA,NA
3475,0006C97DBC,2011,Richard.Lake,A,M,12.37,37.58,0.329164449,NA,NA,NA,NA,NA,NA,NA
