pitID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,sumobs,group,Fa,Fj,Ma,Mj,mass,FAavg,BCI,AB,DA,FC,IG,LP,MA,MW,OK,PC,RL,SG,SQ
6970906,1,1,0,0,0,0,0,0,0,0,2,MJ,0,0,0,1,9,38.57,0.233341976,0,0,0,0,0,0,0,0,0,0,1,0
6970948,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.94,38.26,0.259801359,0,0,1,0,0,0,0,0,0,0,0,0
6970958,0,0,0,0,1,1,1,0,0,0,3,MA,0,0,1,0,11.505,40.2475,0.285925987,0,0,0,0,0,0,0,0,0,0,1,0
6970980,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,10.8,39.43,0.273903119,0,0,0,0,0,0,0,0,0,0,1,0
6971013,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,9.9,36.01,0.274923632,0,0,0,0,0,0,0,0,0,0,1,0
6971197,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,12.1,39.67,0.305016385,0,0,0,0,0,0,0,0,0,0,1,0
6971205,1,0,0,0,0,0,0,0,0,0,1,FA,1,0,0,0,12,37.58,0.319318787,0,0,0,0,0,0,0,0,0,0,1,0
6971326,0,0,0,1,0,0,0,0,0,0,1,FA,1,0,0,0,11.23,38.495,0.291726198,0,0,0,0,0,0,0,0,0,0,1,0
6971401,1,0,0,0,0,0,0,0,0,0,1,MA,0,0,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
6971439,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,9.27,36.61,0.253209506,0,0,0,0,0,0,1,0,0,0,0,0
6971482,1,1,0,0,0,0,0,0,1,0,3,FA,1,0,0,0,10.3,38.86,0.26505404,0,0,0,0,0,0,0,0,0,0,1,0
6971606,0,0,0,1,0,0,0,0,0,0,1,MA,0,0,1,0,11.84,38.965,0.303862441,0,0,0,0,0,0,0,0,0,1,0,0
6971613,0,0,0,0,0,0,1,0,0,0,1,FA,1,0,0,0,8.2,37.83333333,0.216740088,0,0,0,0,0,0,0,0,0,0,0,1
6971753,0,0,0,0,0,0,1,1,1,0,3,FA,1,0,0,0,8.5,40.06666667,0.212146423,0,0,0,0,0,0,0,0,0,0,0,1
6971760,0,0,0,0,1,0,1,0,1,1,4,MA,0,0,1,0,8.68,36.51666667,0.237699681,0,0,0,0,0,0,0,0,0,0,1,0
6971819,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7,39,0.179487179,0,0,0,0,0,0,0,0,0,0,1,0
6971855,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,9.41,35.88,0.262263099,0,0,0,0,0,0,0,0,0,0,1,0
6971880,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,9.68,39.49,0.245125348,0,0,0,0,0,0,0,0,0,0,1,0
6971919,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7.6,38,0.2,0,0,0,0,0,0,0,0,0,0,1,0
6971928,1,0,0,0,0,0,0,0,0,0,1,FJ,0,1,0,0,11.2,37.82,0.296139609,0,0,0,0,0,0,0,0,0,0,1,0
6971983,1,0,0,0,0,0,0,0,0,0,1,MA,0,0,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
6971999,0,0,0,0,0,1,1,0,0,0,2,MA,0,0,1,0,6.8,39,0.174358974,0,0,0,0,0,0,0,0,0,0,1,0
6986129,0,0,0,0,0,0,0,0,1,0,1,FA,1,0,0,0,7.98,37.96666667,0.210184372,0,0,0,0,0,0,0,0,1,0,0,0
6988159,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,7.87,36.79666667,0.213878069,0,0,0,0,0,0,0,0,0,0,1,0
6988258,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7.1,38,0.186842105,0,0,0,0,0,0,0,0,0,0,1,0
7070000,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.02,38.24,0.209728033,0,0,0,0,0,0,1,0,0,0,0,0
7072947,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,11.6,38.42,0.30192608,0,0,1,0,0,0,0,0,0,0,0,0
7073138,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.08,37.46,0.215696743,0,0,0,0,0,0,1,0,0,0,0,0
7073361,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.16,38.59333333,0.211435481,0,0,0,0,0,0,1,0,0,0,0,0
7073509,0,0,0,1,1,0,0,0,0,0,2,MA,0,0,1,0,9.39,39.48,0.237841945,0,0,0,0,0,0,0,0,0,0,1,0
7073594,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,7.92,38.95,0.203337612,0,0,0,1,0,0,0,0,0,0,0,0
7073620,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,12.14,37.11,0.327135543,0,0,0,0,0,0,1,0,0,0,0,0
7073735,0,0,0,1,0,0,0,0,0,0,1,MA,0,0,1,0,8.8,40.32,0.218253968,0,0,0,1,0,0,0,0,0,0,0,0
7074213,0,0,0,1,0,0,0,0,0,0,1,FA,1,0,0,0,10.48,38.9,0.26940874,0,0,0,0,0,0,1,0,0,0,0,0
7080227,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.34,38.35333333,0.217451764,0,0,0,0,0,0,0,0,0,0,1,0
7088054,0,0,0,1,1,0,0,0,0,0,2,FA,1,0,0,0,8.83,37.40666667,0.236054179,1,0,0,0,0,0,0,0,0,0,0,0
7088061,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.22,38.945,0.211066889,0,0,0,0,0,0,0,0,0,1,0,0
7088172,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,9.58,37.27333333,0.257020211,0,0,1,0,0,0,0,0,0,0,0,0
7088180,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,11.35,39.20666667,0.289491583,0,0,1,0,0,0,0,0,0,0,0,0
7088185,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.35,37.2,0.251344086,0,0,0,0,0,0,1,0,0,0,0,0
7088229,0,0,0,1,0,0,0,0,0,0,1,MA,0,0,1,0,8.36,38.43666667,0.21750065,0,0,0,1,0,0,0,0,0,0,0,0
7088302,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,10.12,37.49,0.26993865,0,0,1,0,0,0,0,0,0,0,0,0
7088314,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.72,39.395,0.246731819,0,0,1,0,0,0,0,0,0,0,0,0
7088332,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.3,38.38,0.216258468,0,0,0,1,0,0,0,0,0,0,0,0
7088448,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.61,39.21,0.21958684,0,0,0,1,0,0,0,0,0,0,0,0
7088537,0,0,0,1,0,0,0,0,0,0,1,FA,1,0,0,0,11.9,38.51,0.309010647,1,0,0,0,0,0,0,0,0,0,0,0
7088595,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,9.9,38.885,0.254596888,0,0,0,0,0,0,1,0,0,0,0,0
7088663,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,7.87,38.58,0.203991706,0,0,0,1,0,0,0,0,0,0,0,0
7088812,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8,38.32333333,0.208750109,1,0,0,0,0,0,0,0,0,0,0,0
7088824,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,9.08,39.27,0.231219761,0,0,1,0,0,0,0,0,0,0,0,0
7088883,0,0,0,1,1,0,1,1,1,0,5,MJ,0,0,0,1,8.08,39.645,0.203808803,1,0,0,0,0,0,0,0,0,0,0,0
7088896,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.63,36.95666667,0.233516731,0,0,0,1,0,0,0,0,0,0,0,0
7088981,0,0,0,1,0,0,0,0,0,0,1,FA,1,0,0,0,8.57,38.195,0.224374918,0,0,0,1,0,0,0,0,0,0,0,0
7089031,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.6,40.09,0.214517336,0,0,1,0,0,0,0,0,0,0,0,0
7089142,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.37,37.81,0.221370008,0,0,1,0,0,0,0,0,0,0,0,0
7089256,0,0,0,1,1,0,0,0,0,0,2,MA,0,0,1,0,8.18,38.65333333,0.211624698,0,0,0,0,0,0,0,0,0,1,0,0
7089360,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,11.17,38.56,0.289678423,0,0,1,0,0,0,0,0,0,0,0,0
7089371,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.77,39.26,0.223382578,0,0,0,1,0,0,0,0,0,0,0,0
7089468,0,0,0,1,1,0,1,1,0,0,4,MA,0,0,1,0,8.28,39.83,0.207883505,0,0,0,0,0,0,0,0,0,0,1,0
7089480,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.21,40.76,0.22595682,0,0,0,1,0,0,0,0,0,0,0,0
7089680,0,0,0,1,0,0,0,0,0,0,1,MA,0,0,1,0,8.68,38.865,0.223337193,0,0,0,1,0,0,0,0,0,0,0,0
7089708,0,0,0,1,1,0,0,1,1,0,4,FA,1,0,0,0,8.47,38.86333333,0.21794322,0,0,0,0,0,0,0,0,0,0,1,0
7089709,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,9.94,38.03,0.261372601,0,0,1,0,0,0,0,0,0,0,0,0
7089717,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,7.63,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
7089824,0,0,0,1,0,0,0,0,0,0,1,MJ,0,0,0,1,8.42,39.43,0.213542988,1,0,0,0,0,0,0,0,0,0,0,0
7089935,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,11.84,39.9,0.296741855,0,0,1,0,0,0,0,0,0,0,0,0
7089941,0,0,0,1,0,0,0,0,0,0,1,FJ,0,1,0,0,8.87,39.73,0.223256985,0,0,0,0,0,0,0,0,0,1,0,0
7136167,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,9.5,39.11666667,0.24286323,1,0,0,0,0,0,0,0,0,0,0,0
7136177,0,0,0,0,0,1,0,0,0,0,1,MJ,0,0,0,1,7.4,36.8,0.201086957,0,0,0,0,0,0,0,0,1,0,0,0
7136379,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,11.6,40.20666667,0.288509368,1,0,0,0,0,0,0,0,0,0,0,0
7136392,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,9.05,39.23333333,0.230671198,0,0,0,0,0,0,0,0,0,0,1,0
7136458,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,8.81,38.34,0.229786124,0,0,0,0,1,0,0,0,0,0,0,0
7136680,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,7.7,36.86666667,0.208860759,0,0,0,0,0,0,0,0,1,0,0,0
7136688,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,10.1,39.25,0.257324841,1,0,0,0,0,0,0,0,0,0,0,0
7136746,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,7.55,40.35666667,0.187081853,0,0,0,0,1,0,0,0,0,0,0,0
7136750,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,11.1,40.3,0.275434243,0,1,0,0,0,0,0,0,0,0,0,0
7136763,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,8.58,38.03333333,0.225591586,0,0,0,0,0,0,1,0,0,0,0,0
7136857,0,0,0,0,0,1,0,0,0,0,1,MJ,0,0,0,1,7.9,36.86666667,0.214285714,0,0,0,0,0,0,0,0,1,0,0,0
7137290,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,6.56,36.76666667,0.178422484,0,0,0,0,0,0,0,0,1,0,0,0
7137331,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,7.2,37.9,0.189973615,0,0,0,0,1,0,0,0,0,0,0,0
7137346,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,9.15,39.61,0.231002272,0,0,0,0,0,0,1,0,0,0,0,0
7137452,0,0,0,0,1,0,0,0,0,0,1,MJ,0,0,0,1,8.7,35.36666667,0.245994345,1,0,0,0,0,0,0,0,0,0,0,0
7137749,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,7.65,38.23333333,0.200087184,0,0,0,0,0,0,1,0,0,0,0,0
7138230,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,7.06,37.63333333,0.187599646,0,0,0,0,0,0,0,0,1,0,0,0
7138237,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,9.86,40.5,0.24345679,0,0,0,0,0,0,1,0,0,0,0,0
7138794,0,0,0,0,0,1,0,0,0,0,1,FJ,0,1,0,0,7.9,35.16666667,0.22464455,0,0,0,0,0,0,0,0,1,0,0,0
7138883,0,0,0,0,1,1,0,0,0,0,2,FA,1,0,0,0,7.38,37.25,0.198120805,0,0,0,0,0,0,0,0,1,0,0,0
7138924,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,8.58,39.22,0.218765936,0,0,0,0,0,0,0,0,0,0,1,0
7139119,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,10.9,39.08,0.278915046,1,0,0,0,0,0,0,0,0,0,0,0
7139231,0,0,0,0,0,1,0,0,0,0,1,MJ,0,0,0,1,7.5,37.8,0.198412698,0,0,0,0,1,0,0,0,0,0,0,0
7139235,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,7.86,37.79,0.207991532,0,0,0,0,0,0,1,0,0,0,0,0
7139300,0,0,0,0,1,0,0,0,0,0,1,MJ,0,0,0,1,7.46,35.92,0.207683742,0,0,0,0,0,0,0,0,0,0,1,0
7139397,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,8.3,40.2,0.206467662,0,0,0,0,0,0,0,0,1,0,0,0
7139504,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,8.26,38.67,0.213602276,0,0,0,0,1,0,0,0,0,0,0,0
7139556,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,8.35,38.89,0.214708151,0,0,0,0,0,0,0,0,0,0,1,0
7140000,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,8.4,38.30666667,0.219282979,1,0,0,0,0,0,0,0,0,0,0,0
7200389,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,11.77,38.72666667,0.303924944,0,0,0,0,0,0,0,0,1,0,0,0
7200500,0,0,0,0,1,1,0,0,0,0,2,MA,0,0,1,0,12.16,39.58333333,0.3072,0,0,0,0,0,0,0,0,1,0,0,0
7200590,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,8.4,39.03333333,0.215200683,0,0,0,0,1,0,0,0,0,0,0,0
7201049,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,11.5,37.86666667,0.303697183,0,0,0,0,1,0,0,0,0,0,0,0
7201112,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7.4,37.45666667,0.197561627,0,0,0,0,0,0,0,0,1,0,0,0
7201949,0,0,0,0,1,0,0,0,0,0,1,MJ,0,0,0,1,7.84,38.87333333,0.201680672,0,0,0,0,0,0,0,0,0,0,1,0
7203043,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,7.1,36.59,0.194042088,0,0,0,0,0,0,0,0,1,0,0,0
7203116,0,0,0,0,1,1,0,0,0,0,2,MA,0,0,1,0,11.4,38.63666667,0.295056509,0,0,0,0,0,0,0,0,1,0,0,0
7203188,0,0,0,0,1,1,0,0,0,0,2,MJ,0,0,0,1,11.48,38.62666667,0.297204004,0,0,0,0,0,0,0,0,1,0,0,0
7203259,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,8.9,38.06666667,0.23380035,0,0,0,0,0,0,0,0,0,0,0,1
7203263,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,6.4,39.02666667,0.163990434,0,0,0,0,0,0,0,0,1,0,0,0
7203266,0,0,0,0,0,1,0,1,0,0,2,MA,0,0,1,0,8.7,39.13333333,0.222316865,0,0,0,0,0,0,0,0,1,0,0,0
7203440,0,0,0,0,1,1,0,0,0,0,2,FJ,0,1,0,0,10.17,36.81333333,0.276258602,0,0,0,0,0,0,0,0,1,0,0,0
7203642,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,12.04,38.18666667,0.315293296,0,0,0,0,0,0,0,0,1,0,0,0
7203748,0,0,0,0,0,1,1,0,0,0,2,FA,1,0,0,0,8.8,37.46666667,0.234875445,0,0,0,0,0,0,0,0,0,0,0,1
7203858,0,0,0,0,0,1,0,0,0,0,1,FA,1,0,0,0,NA,40.06666667,NA,0,0,0,0,0,0,0,0,1,0,0,0
7204006,0,0,0,0,1,1,0,0,0,0,2,MA,0,0,1,0,10.93,38.75333333,0.282040255,0,0,0,0,0,0,0,0,1,0,0,0
7204007,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,9.8,38.58,0.254017626,1,0,0,0,0,0,0,0,0,0,0,0
7204012,0,0,0,0,1,0,0,0,0,0,1,MJ,0,0,0,1,11.83,37.59,0.314711359,0,0,0,0,0,0,0,0,1,0,0,0
7204145,0,0,0,0,0,1,1,1,0,1,4,FJ,0,1,0,0,9.1,37.76666667,0.240953222,0,0,0,0,0,0,0,0,0,0,0,1
7204291,0,0,0,0,1,0,0,0,0,0,1,FA,1,0,0,0,9.04,40.99,0.220541596,0,0,0,0,0,0,0,0,1,0,0,0
7204332,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,9.74,36.93666667,0.263694612,0,0,0,0,0,0,0,0,1,0,0,0
7204484,0,0,0,0,0,1,0,0,0,0,1,MA,0,0,1,0,9.3,37.91666667,0.245274725,0,0,0,0,0,0,0,0,0,0,0,1
7204487,0,0,0,0,1,0,0,0,0,0,1,MA,0,0,1,0,10.22,37.61666667,0.271688082,0,0,0,0,0,0,0,0,1,0,0,0
