cave,index,year,label,estimate,SE,LCI,UCI
SQ,M-RT,2014-2015 ,Phi,0.3162003,0.0509396,0.2256474,0.4232307
SQ,M-RT,2015-2016 ,Phi,0.4500932,183.0018875,0,1
SQ,M-RT,2016-2017 ,Phi,0.1046927,0.0144355,0.0795855,0.1365456
SQ,M-MA,2013-2014 ,p,0.6047383,0.082017,0.4384941,0.7498423
SQ,M-MA,2014-2015 ,p,0.4413995,0.0640206,0.3220437,0.5679342
SQ,M-MA,2015-2016 ,p,0.2454256,0.0667576,0.1382743,0.3973252
SQ,M-MA,2016-2017 ,p,0.756285,0.1576258,0.3673176,0.9431377
SQ,M-MY,2013-2014 ,p,0.5879691,0.0717515,0.4440047,0.7183066
SQ,M-MY,2014-2015 ,p,0.4758329,0.0646754,0.3532038,0.6014472
SQ,M-MY,2015-2016 ,p,0.2848397,0.0581917,0.1853545,0.4107957
SQ,M-MY,2016-2017 ,p,0.8483038,0.0528649,0.7142613,0.925982
