cave,index,year,label,estimate,se,LSE,USE
AB,F-JUV,2016-17 ,Phi,0.1043769,0.06608708,0.03828982,0.17046398
AB,M-JUV,2011-12,Phi,0.2574297,0.04852177,0.20890793,0.30595147
AB,M-MY,2012-13,Phi,0.492789,0.09574931,0.39703969,0.58853831
AB,M-MY,2013-14 ,Phi,0.7873825,0.04070528,0.74667722,0.82808778
AB,M-MY,2014-15 ,Phi,0.7946441,0.03237832,0.76226578,0.82702242
AB,M-MY,2015-16 ,Phi,0.7258852,0.1152945,0.6105907,0.8411797
AB,M-MY,2016-17 ,Phi,0.6045363,0.34220277,0.26233353,0.94673907
AB,M-JUV,2012-13,Phi,0.233093,0.07696371,0.15612929,0.31005671
AB,M-JUV,2013-14 ,Phi,0.2032625,0.07416699,0.12909551,0.27742949
AB,M-JUV,2014-15 ,Phi,0.2728268,16.15783363,0,1
AB,M-JUV,2015-16 ,Phi,0.2135765,0.07289477,0.14068173,0.28647127
AB,M-JUV,2016-17 ,Phi,0.1787161,0.11012588,0.06859022,0.28884198
AB,F-MA,2012,p,0.4712672,0.13613107,0.33513613,0.60739827
AB,F-MA,2013,p,0.3822202,0.17197264,0.21024756,0.55419284
AB,F-MA,2014,p,0.8794636,0.0450528,0.8344108,0.9245164
AB,F-MA,2015,p,0.9759535,0.11646947,0.85948403,1
AB,F-MA,2016,p,0.3824807,0.36681567,0.01566503,0.74929637
AB,F-MA,2017,p,0.2662393,0.41376337,0,0.68000267
AB,M-MA,2012,p,0.5123965,0.07441761,0.43797889,0.58681411
AB,M-MA,2013,p,0.6926357,0.07950614,0.61312956,0.77214184
AB,M-MA,2014,p,0.858741,0.03199053,0.82675047,0.89073153
AB,M-MA,2015,p,0.9596871,0.02269072,0.93699638,0.98237782
AB,M-MA,2016,p,0.7676474,0.15067906,0.61696834,0.91832646
AB,M-MA,2017,p,0.2358197,0.42449588,0,0.66031558
AB,F-MY,2012,p,0.4699164,0.13550854,0.33440786,0.60542494
AB,F-MY,2013,p,0.3827909,0.1727461,0.2100448,0.555537
AB,F-MY,2014,p,0.8787657,0.04612824,0.83263746,0.92489394
AB,F-MY,2015,p,0.9758306,0.11655082,0.85927978,1
AB,F-MY,2016,p,0.3790894,0.36311403,0.01597537,0.74220343
AB,F-MY,2017,p,0.2569106,0.40835257,0,0.66526317
AB,M-MY,2012,p,0.5110457,0.07402692,0.43701878,0.58507262
AB,M-MY,2013,p,0.6932065,0.07895258,0.61425392,0.77215908
AB,M-MY,2014,p,0.8580432,0.03305347,0.82498973,0.89109667
AB,M-MY,2015,p,0.9595643,0.02301801,0.93654629,0.98258231
AB,M-MY,2016,p,0.7642561,0.15038188,0.61387422,0.91463798
AB,M-MY,2017,p,0.226491,0.41854617,0,0.64503717
AB,F-MA,2011-12,Phi,NA,NA,NA,NA
AB,F-MY,2011-12,Phi,NA,NA,NA,NA
AB,M-MA,2011-12,Phi,NA,NA,NA,NA
AB,M-MY,2011-12,Phi,NA,NA,NA,NA
SG,F-MA,2011-12,Phi,NA,NA,NA,NA
SG,F-MY,2011-12,Phi,NA,NA,NA,NA
SG,M-MA,2011-12,Phi,NA,NA,NA,NA
SG,M-MY,2011-12,Phi,NA,NA,NA,NA
