capdate,area,location,code,recap,species,Age,sex,repro,mass,faavg,bci
24/05/2009,Grand.Rapids,Firecamp,000696E734,N,MYLU,NA,M,NA,7.7,37.91,0.203112635
24/05/2009,Grand.Rapids,Firecamp,000696EBDC,N,MYLU,NA,F,NA,8.6,38.33,0.224367336
24/05/2009,Grand.Rapids,Firecamp,000696EC06,N,MYLU,NA,M,NA,7.5,36.74,0.20413718
24/05/2009,Grand.Rapids,Firecamp,000696ED1D,N,MYLU,NA,M,NA,7.8,37.46,0.208222104
24/05/2009,Grand.Rapids,Firecamp,000696F015,N,MYLU,NA,M,NA,7.3,38.49,0.189659652
24/05/2009,Grand.Rapids,Firecamp,000696F29D,N,MYLU,NA,M,NA,7.6,40.68,0.186823992
24/05/2009,Grand.Rapids,Firecamp,000696F3DB,N,MYLU,NA,M,NA,7.6,38.51,0.197351337
24/05/2009,Grand.Rapids,Firecamp,000696F71C,N,MYLU,NA,M,NA,7.6,38.36,0.198123045
24/05/2009,Grand.Rapids,Firecamp,000696FBF3,N,MYLU,NA,M,NA,8.1,39.21,0.206579954
24/05/2009,Grand.Rapids,Firecamp,000696FF30,N,MYLU,NA,F,NA,7.9,39.35,0.200762389
24/05/2009,Grand.Rapids,Firecamp,000697061C,N,MYLU,NA,M,NA,6.7,37.27,0.179769251
24/05/2009,Grand.Rapids,Firecamp,00069706C2,N,MYLU,NA,M,NA,6.8,37.01,0.183734126
24/05/2009,Grand.Rapids,Firecamp,0006970A83,N,MYLU,NA,M,NA,6.6,37.1,0.177897574
24/05/2009,Grand.Rapids,Firecamp,0006970CAA,N,MYLU,NA,M,NA,7.5,36.51,0.205423172
24/05/2009,Grand.Rapids,Firecamp,0006970D05,N,MYLU,NA,F,NA,7.7,38.14,0.201887782
24/05/2009,Grand.Rapids,Firecamp,0006970F2E,N,MYLU,NA,F,NA,8.1,37.8,0.214285714
24/05/2009,Grand.Rapids,Firecamp,000697185F,N,MYLU,NA,M,NA,7.3,36.32,0.200991189
24/05/2009,Grand.Rapids,Firecamp,0006971C0D,YB,MYLU,NA,M,NA,7.9,38.05,0.207621551
24/05/2009,Grand.Rapids,Firecamp,0006986C01,N,MYLU,NA,M,NA,7.4,37.16,0.199138859
19/06/2009,Grand.Rapids,Heidi.Cook's.House,6970511,N,MYLU,NA,M,NA,8.6,39.86,0.215755143
19/06/2009,Grand.Rapids,Heidi.Cook's.House,000696E418,N,MYLU,NA,M,NA,8.2,40.19,0.204030853
19/06/2009,Grand.Rapids,Heidi.Cook's.House,000696E46D,N,MYLU,NA,M,NA,6.7,38.35,0.174706649
19/06/2009,Grand.Rapids,Heidi.Cook's.House,000696ED95,N,MYLU,NA,M,NA,5.9,38.36,0.153806048
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C96DCF,N,MYLU,NA,M,NA,9.9,40.45,0.244746601
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C9709F,N,MYLU,NA,M,NA,8,38.49,0.207846194
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C9790A,N,MYLU,NA,M,NA,7.1,38.15,0.186107471
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C97CA6,N,MYLU,NA,F,P,9.1,38.83,0.23435488
19/06/2009,Grand.Rapids,Heidi.Cook's.House,0006C98854,N,MYLU,NA,M,NA,7.3,37.73,0.193479989
