"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0000100" "MJ" 8.8 37.56 0.234291799787007 "M" "J"
"0010000" "MA" 13 37.4 0.347593583 "M" "A"
"0010000" "MA" 11.8 39 0.302564103 "M" "A"
"0001110" "MA" 7.3 38.9 0.187660668 "M" "A"
"0001100" "FA" 9.4 38.76666667 0.242476354 "F" "A"
"0000100" "FJ" 9.25 39.05 0.236875800256082 "F" "J"
"0001110" "MA" 8.5 39.93333333 0.212854758 "M" "A"
"0000100" "FJ" 10.5 39.4 0.266497461928934 "F" "J"
"0011000" "FA" 13.4 38.1 0.351706037 "F" "A"
"0011100" "MA" 9.5 38.116666665 0.2495112995 "M" "A"
"0010000" "MA" 13 38.38333333 0.338688667 "M" "A"
"0001000" "MA" 8.6 38.1 0.225721785 "M" "A"
"0010100" "FA" 14 38.55 0.363164721 "F" "A"
"0001110" "MA" 8.7 37.96666667 0.229148376 "M" "A"
"0011110" "MA" 10.8 25.5 0.423529412 "M" "A"
"0010000" "MA" 8.3 37.70833333 0.220108836 "M" "A"
"0000100" "FA" 9.9 37.03333333 0.267326732697329 "F" "A"
"0000100" "FJ" 8.7 38.2 0.227748691099476 "F" "J"
"0011000" "MA" 10.35 38.4 0.2700828335 "M" "A"
"0011000" "MA" 11.2 37.96666667 0.29499561 "M" "A"
"0010100" "MA" 11.2 38.96666667 0.28742515 "M" "A"
"0000100" "FJ" 8.6 37.33333333 0.23035714287771 "F" "J"
"0011100" "MA" 12 38.71666667 0.309944038 "M" "A"
"0011100" "FA" 10 37.4 0.267379679 "F" "A"
"1110000" "MJ" 7.15 38.12666667 0.187532785 "M" "J"
"1000000" "MJ" 9.51 37.855 0.251221767 "M" "J"
"1000000" "FJ" 10.06 39.07333333 0.257464596 "F" "J"
"1000000" "MJ" 9.42 37.835 0.248975816 "M" "J"
"1000000" "FJ" 9.89 38.62 0.25608493 "F" "J"
"1001100" "MA" 8.49 37.945 0.223744894 "M" "A"
"1000000" "MA" 9 37.98 0.236966825 "M" "A"
"1000000" "MA" 9.44 38.29 0.246539566 "M" "A"
"1000000" "MA" 9.33 37.815 0.246727489 "M" "A"
